index,type,date,country,state,location,activity,severity,time
6452,UNPROVOKED,1880-01-05,INDIA,West Bengal,Ganges River,,INJURY,NOON
6453,UNPROVOKED,1880-01-05,INDIA,West Bengal,Hoogly River,SWIMMING,INJURY,
6454,,1880-01-05,MEXICO,Guerro,Acapulco,,,
6455,UNPROVOKED,1880-01-05,INDIA,West Bengal,(Calcutta?),SWIMMING,FATALITY,NOON
6456,UNPROVOKED,1880-01-05,INDIA,West Bengal,"Panihati, 4 miles south of Barrackpore on the Hoogly River",SWIMMING,FATALITY,MORNING
6457,WATERCRAFT,1880-01-01,AUSTRALIA,New South Wales,"Chowder Bay, Sydney",FISHING,,NOON
6458,UNPROVOKED,1880-01-01,AUSTRALIA,New South Wales,Cooranbong,SWIMMING,INJURY,
6459,,1880-01-01,SYRIA,,,DIVING,FATALITY,
6460,,1880-01-01,USA,Florida,"Hutchinson Island, Martin County",,,
6461,UNPROVOKED,1880-01-01,SOLOMON ISLANDS,Guadalcanal Province,Guadalcanal,,INJURY,
6462,UNPROVOKED,1880-01-01,NEW ZEALAND,South Island,Campbell’s Point,,,
6463,UNPROVOKED,1879-01-12,INDIA,Andaman Islands,Port Blair,SWIMMING,FATALITY,
6464,UNPROVOKED,1879-01-11,AUSTRALIA,New South Wales,Clarence Heads,SWIMMING,INJURY,
6465,PROVOKED,1879-01-09,SPAIN,Valencia,Castellon de la Plana,FISHING,INJURY,
6466,UNPROVOKED,1879-01-08,FIJI,Lau Group,Totoya,,INJURY,
6467,UNPROVOKED,1879-01-07,USA,California,"Los Angeles, Los Angeles County",SWIMMING,,
6468,UNPROVOKED,1879-01-03,NEW ZEALAND,North Island,Napier,PASSIVE,FATALITY,
6469,,1879-01-03,AUSTRALIA,New South Wales,Near Sydney,,,
6470,UNPROVOKED,1879-01-01,USA,Mississippi,River mouth,SWIMMING,FATALITY,
6471,UNPROVOKED,1878-01-11,AUSTRALIA,New South Wales,"Lane Cove River, Sydney Harbor",SWIMMING,INJURY,
6472,UNPROVOKED,1878-01-10,INDONESIA,East Java,Probolinggo,SWIMMING,FATALITY,
6473,UNPROVOKED,1878-01-10,,,,SWIMMING,FATALITY,
6474,PROVOKED,1878-01-09,USA,Connecticut,"Branford, New Haven County",FISHING,INJURY,
6475,UNPROVOKED,1878-01-09,SOUTH ATLANTIC OCEAN,Off the coast of West Africa,,BOATING,INJURY,
6476,UNPROVOKED,1878-01-09,SOUTH ATLANTIC OCEAN,Off the coast of West Africa,,BOATING,FATALITY,
6477,UNPROVOKED,1878-01-08,USA,New York,East River,SWIMMING,FATALITY,NOON
6478,UNPROVOKED,1878-01-08,USA,New York,Brooklyn,SWIMMING,FATALITY,NOON
6479,UNPROVOKED,1978-01-06,PHILIPPINES,Misamis Oriental,Cagayan de Oro,,FATALITY,
6480,UNPROVOKED,1978-01-06,NEW GUINEA,,,,INJURY,
6481,UNPROVOKED,1878-01-02,SOUTH AFRICA,Western Cape Province,Olifantbos Point,DIVING,FATALITY,
6482,UNPROVOKED,1878-01-02,BRAZIL,,,,FATALITY,
