index,type,date,country,state,location,activity,severity,time
1477,UNPROVOKED,2011-01-09,USA,South Carolina,"North Myrtle Beach, Horry County",SWIMMING,INJURY,MORNING
1478,WATERCRAFT,2011-01-09,USA,Hawaii,Kauai,BOATING,INJURY,AFTERNOON
1479,UNPROVOKED,2011-01-09,REUNION,Saint-Gilles,Boucan-Canot,SURFING,FATALITY,AFTERNOON
1480,UNPROVOKED,2011-01-09,KENYA,Coast Province,"Mama Ngina Beach, Mombasa",SWIMMING,FATALITY,
1481,UNPROVOKED,2011-01-09,USA,Florida,New Smyrna Beach,SURFING,INJURY,NOON
1482,UNPROVOKED,2011-01-09,USA,California,"Samoa Beach, Humboldt County",SURFING,INJURY,NOON
1483,UNPROVOKED,2011-01-09,PAPUA NEW GUINEA,Central Province,"Hula, near Port Moresby",SURFING,INJURY,NOON
1484,UNPROVOKED,2011-01-09,USA,Hawaii,"Nimitz State Beach, Oahu",SURFING,INJURY,NOON
1485,UNPROVOKED,2011-01-09,AUSTRALIA,Western Australia,Bunker Bay,SURFING,FATALITY,NOON
1486,UNPROVOKED,2011-01-09,USA,Florida,"New Smyrna Beach, Volusia County",SURFING,INJURY,NOON
1487,UNPROVOKED,2011-01-08,USA,Florida,Crescent Beach St. Johns County,SURFING,INJURY,NOON
1488,,2011-01-08,AUSTRALIA,Queensland,Fantome Island,SWIMMING,FATALITY,DUSK
1489,UNPROVOKED,2011-01-08,USA,Texas,"Grass Island, Aransas County",FISHING,INJURY,DUSK
1490,UNPROVOKED,2011-01-08,RUSSIA,Primorsky Krai,Slavyanka,PASSIVE,INJURY,MORNING
1491,UNPROVOKED,2011-01-08,USA,North Carolina,"Buxton Beach, Dare County",SURFING,INJURY,
1492,UNPROVOKED,2011-01-08,USA,North Carolina,Holden Beach. Brunswick County,,INJURY,AFTERNOON
1493,UNPROVOKED,2011-01-08,SOUTH AFRICA,Western Cape Province,"Lookout Beach, near the Keurbooms river mouth in Plettenberg Bay",SURFING,FATALITY,MORNING
1494,UNPROVOKED,2011-01-08,RUSSIA,"Peter the Great Bay, Khasan, Primorsky Krai (Far East)",Zheltukhin Island,SWIMMING,INJURY,
1495,UNPROVOKED,2011-01-08,USA,North Carolina,"Kure Beach, New Hanover County",SWIMMING,INJURY,AFTERNOON
1496,,2011-01-08,USA,North Carolina,"Wrightsville Beach, New Hanover County",,INJURY,AFTERNOON
1497,UNPROVOKED,2011-01-08,RUSSIA,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Vityaz,SWIMMING,,DUSK
1498,UNPROVOKED,2011-01-08,FRENCH POLYNESIA,Society Islands,"Teahupoo, Tahiti",SURFING,INJURY,AFTERNOON
1499,UNPROVOKED,2011-01-08,USA,Puerto Rico,Vieques,SWIMMING,INJURY,NIGHT
1500,UNPROVOKED,2011-01-08,SEYCHELLES,Praslin,Anse Lazio,SWIMMING,FATALITY,AFTERNOON
1501,,2011-01-08,USA,South Carolina,"Myrtle Beach, Horry County",PASSIVE,INJURY,
1502,UNPROVOKED,2011-01-08,USA,North Carolina,Beaufort Inlet,SWIMMING,INJURY,NOON
1503,UNPROVOKED,2011-01-08,SEYCHELLES,Praslin,Anse Lazio,DIVING,FATALITY,AFTERNOON
1504,,2011-01-07,BRAZIL,Pernambuco,Praia do Pina,SWIMMING,,
1505,UNPROVOKED,2011-01-07,PHILIPPINES,,,SWIMMING,INJURY,
1506,UNPROVOKED,2011-01-07,USA,New Jersey,"Egg Harbor, Atlantic County",FISHING,INJURY,NIGHT
1507,UNPROVOKED,2011-01-07,SOUTH AFRICA,Eastern Cape Province,"Cintza Beach, East London",SURFING,INJURY,MORNING
1508,UNPROVOKED,2011-01-07,USA,North Carolina,"Ocracoke Island, Hyde County",SURFING,INJURY,AFTERNOON
1509,WATERCRAFT,2011-01-07,REUNION,Saint-Gilles,Brisants.,BOATING,,AFTERNOON
1510,UNPROVOKED,2011-01-07,USA,Texas,"South Padre Island, Cameron County",SURFING,INJURY,DUSK
1511,UNPROVOKED,2011-01-07,BAHAMAS,Grand Bahama Island,Off Lucaya,DIVING,INJURY,NOON
1512,UNPROVOKED,2011-01-07,USA,Texas,"Sunday Beach, Matagorda Island, Calhoun  County",SWIMMING,INJURY,AFTERNOON
1513,UNPROVOKED,2011-01-07,USA,Texas,"Mustang Island, Nueces County",FISHING,INJURY,
1514,UNPROVOKED,2011-01-07,REUNION,Saint-Gilles,Roches Noires,SURFING,INJURY,NOON
1515,UNPROVOKED,2011-01-07,COLUMBIA,Sucre,"Libertad, San Onofre",BOATING,INJURY,MORNING
1516,UNPROVOKED,2011-01-06,TURKS & CAICOS,Middle Caicos,Mudjin Harbor,DIVING,INJURY,NOON
1517,UNPROVOKED,2011-01-06,BRAZIL,Pernambuco,Praia do Pina,SURFING,INJURY,MORNING
1518,UNPROVOKED,2011-01-06,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,DIVING,INJURY,NOON
1519,UNPROVOKED,2008-01-06,USA,North Carolina,"North Topsail Beach, Onslow County",PASSIVE,INJURY,NOON
1520,UNPROVOKED,2011-01-06,USA,California,"San Onofre State Beach, San Diego County",SURFING,INJURY,NOON
1521,UNPROVOKED,2011-01-06,USA,Florida,"Perdido Key, Escambia County",,INJURY,NOON
1522,UNPROVOKED,2011-01-06,TURKS & CAICOS,Caicos Bank,French Cay,DIVING,INJURY,
1523,UNPROVOKED,2011-01-06,COSTA RICA,Guanacaste,Playa Grande,SURFING,FATALITY,NOON
1524,UNPROVOKED,2011-01-06,REUNION,Saint-Gilles-les-Bains,Boucan-Canot,SURFING,FATALITY,AFTERNOON
1525,WATERCRAFT,2011-01-06,UNITED KINGDOM,Cornwall,St. Ives,FISHING,,
1526,UNPROVOKED,2011-01-06,USA,Florida,"Off Jupiter Inlet, Palm Beach County",DIVING,INJURY,NOON
1527,UNPROVOKED,2011-01-06,COLUMBIA,San Andrés archipelago,Albuquerque Cay,DIVING,INJURY,
1528,UNPROVOKED,2011-01-06,USA,California,"La Jolla, San Diego County",DIVING,INJURY,
1529,UNPROVOKED,2011-01-06,USA,Florida,"New Smyrna Beach, Volusia County",SWIMMING,INJURY,NOON
1530,UNPROVOKED,2011-01-06,MALAYSIA,Kedah,Palau Payar,DIVING,INJURY,
1531,UNPROVOKED,2011-01-05,USA,Texas,"Follett's Island, Brazoria County",SURFING,INJURY,AFTERNOON
1532,UNPROVOKED,2011-01-05,SOUTH AFRICA,Western Cape Province,Robberg Beach,SURFING,,
1533,UNPROVOKED,2011-01-05,USA,Hawaii,"Lyman Beach, Kailua-Kona",SURFING,INJURY,NOON
1534,UNPROVOKED,2011-01-05,USA,Hawaii,"Lyman Beach, Kailua-Kona",SURFING,INJURY,NOON
1535,UNPROVOKED,2011-01-05,SOUTH AFRICA,KwaZulu-Natal,Levan Point,DIVING,FATALITY,NOON
1536,UNPROVOKED,2011-01-05,USA,Florida,"Ponte Vedra Beach, St Johns County",,INJURY,AFTERNOON
1537,UNPROVOKED,2011-01-05,NEW CALEDONIA,North Province,Kendec,SURFING,FATALITY,NOON
1538,UNPROVOKED,2011-01-05,USA,Florida,"Ormond Beach, Volusia County",SURFING,INJURY,
1539,PROVOKED,2011-01-05,USA,Florida,Miami,FISHING,INJURY,
1540,,2011-01-05,UNITED ARAB EMIRATES (UAE),Umm al Qaywayan Province,Khor Fakkan,FISHING,,
1541,UNPROVOKED,2011-01-05,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,DIVING,INJURY,
1542,UNPROVOKED,2011-01-04,USA,Florida,"Riviera Beach, Palm Beach County",DIVING,INJURY,
1543,UNPROVOKED,2011-01-04,AUSTRALIA,Western Australia,Red Bluffs,DIVING,INJURY,AFTERNOON
1544,UNPROVOKED,2011-01-04,USA,Florida,"New Smyrna Beach, Volusia County",SURFING,INJURY,AFTERNOON
1545,UNPROVOKED,2011-01-04,NEW ZEALAND,South Island,Snapper Point,SURFING,INJURY,NOON
1546,UNPROVOKED,2011-01-04,INDONESIA,Bali,Balian,SURFING,INJURY,MORNING
1547,UNPROVOKED,2011-01-04,FIJI,Vitu Levu,"Malake Island, Ra Province",DIVING,INJURY,NOON
1548,PROVOKED,2011-01-03,USA,Texas,Matagorda Beach,PASSIVE,INJURY,
1549,UNPROVOKED,2011-01-03,MEXICO,Quintana Roo,"Gaviotas Beach, Cancun",SWIMMING,INJURY,
1550,UNPROVOKED,2011-01-03,AUSTRALIA,New South Wales,Crowdy Head,SURFING,,AFTERNOON
1551,UNPROVOKED,2011-01-03,MEXICO,Quintana Roo,,SWIMMING,INJURY,
1552,UNPROVOKED,2011-01-03,FIJI,,Nukudamu,DIVING,INJURY,AFTERNOON
1553,UNPROVOKED,2011-01-03,AUSTRALIA,New South Wales,"Jimmys Beach, Port Stephens",SURFING,,NOON
1554,,2010-01-03,EGYPT,South Sinai Peninsula,Sharm-el-Sheikh,,,
1555,UNPROVOKED,2011-01-03,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",SURFING,,
1556,PROVOKED,2011-01-02,AUSTRALIA,Queensland,Between,FISHING,INJURY,MORNING
1557,UNPROVOKED,2011-01-02,NEW CALEDONIA,Loyalty Islands,"Bay of Bweedro, Ouvéa",DIVING,INJURY,NOON
1558,UNPROVOKED,2011-01-02,REUNION,Saint Gilles,Trois-Roches,SURFING,,AFTERNOON
1559,UNPROVOKED,2011-01-02,AUSTRALIA,South Australia,Off Perforated Island near Coffin Bay,DIVING,FATALITY,AFTERNOON
1560,PROVOKED,2011-01-02,AUSTRALIA,Queensland,Sunshine Beach,FISHING,INJURY,MORNING
1561,UNPROVOKED,2011-01-02,AUSTRALIA,Western Australia,Exmouth,DIVING,INJURY,NOON
1562,PROVOKED,2011-01-02,MEXICO,Colima,"Manzanillo, Revillagigedo Islands",,INJURY,
1563,UNPROVOKED,2011-01-02,SOUTH AFRICA,Eastern Cape Province,"Sundays River Mouth, Port Elizabeth",SURFING,INJURY,
1564,UNPROVOKED,2011-01-01,MEXICO,Quintana Roo,Cancun,SWIMMING,INJURY,NOON
1565,PROVOKED,2011-01-01,MEXICO,Colima,Revillagigedo Islands,,INJURY,
1566,UNPROVOKED,2011-01-01,BAHAMAS,West End,Tiger Beach,DIVING,INJURY,AFTERNOON
1567,,2011-01-01,AUSTRALIA,New South Wales,Cudgen Creek,SWIMMING,INJURY,AFTERNOON
1568,UNPROVOKED,2011-01-01,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",SURFING,FATALITY,NOON
1569,UNPROVOKED,2011-01-01,MEXICO,Quintana Roo,Xcalak,,INJURY,
1570,WATERCRAFT,2011-01-01,AUSTRALIA,Western Australia,Busselton,FISHING,INJURY,NOON
1571,UNPROVOKED,2010-01-12,USA,Hawaii,"Kahului, Maui",SURFING,INJURY,AFTERNOON
1572,UNPROVOKED,2010-01-12,FIJI,Vitu Levu,Sigatoka,SURFING,INJURY,MORNING
1573,UNPROVOKED,2010-01-12,USA,Hawaii,"Tavares Bay, Maui",SURFING,INJURY,NOON
1574,UNPROVOKED,2010-01-12,EGYPT,South Sinai Peninsula,"Middle Garden, Sharm el-Shiekh",DIVING,FATALITY,NOON
1575,UNPROVOKED,2010-01-12,INDONESIA,Bali,Balian,SURFING,INJURY,
1576,UNPROVOKED,2010-01-12,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",DIVING,INJURY,NOON
1577,UNPROVOKED,2010-01-12,EGYPT,South Sinai Peninsula,"Ras Nasrani, Sharm el-Sheikh",DIVING,INJURY,MORNING
1578,UNPROVOKED,2010-01-11,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",DIVING,INJURY,NOON
1579,UNPROVOKED,2010-01-11,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",DIVING,INJURY,NOON
1580,UNPROVOKED,2010-01-11,SAMOA,,,FISHING,,MORNING
1581,,2010-01-11,AUSTRALIA,Western Australia,Native Dog Beach,SWIMMING,,
1582,PROVOKED,2010-01-11,USA,Palmyra Atoll,,DIVING,INJURY,NOON
1583,UNPROVOKED,2010-01-11,DOMINICAN REPUBLIC,,Boca Chica,DIVING,FATALITY,MORNING
1584,UNPROVOKED,2010-01-11,INDONESIA,Bali,Balian,SURFING,INJURY,
1585,WATERCRAFT,2010-01-11,AUSTRALIA,Western Australia,Between Carnac and Garden Islands,FISHING,,NIGHT
1586,UNPROVOKED,2010-01-10,AUSTRALIA,Western Australia,Off Garden Island,DIVING,INJURY,NOON
1587,UNPROVOKED,2010-01-10,AUSTRALIA,Western Australia,Cheynes Beach,DIVING,,
1588,UNPROVOKED,2010-01-10,USA,Oregon,Florence,SURFING,,AFTERNOON
1589,PROVOKED,2010-01-10,AZORES,,350 miles from Faial Island,FISHING,,
1590,UNPROVOKED,2010-01-10,USA,Maine,"Burnt Cove near Eastport, Washington County",DIVING,INJURY,NOON
1591,UNPROVOKED,2010-01-10,AUSTRALIA,Western Australia,Wedge Island,SURFING,INJURY,
1592,UNPROVOKED,2010-01-10,USA,California,"Surf Beach, Vandenberg AFB, Santa Barbara County",SURFING,FATALITY,MORNING
1593,UNPROVOKED,2010-01-10,EGYPT,South Sinai Peninsula,Sharm el-Sheikh,DIVING,INJURY,MORNING
1594,UNPROVOKED,2010-01-10,AUSTRALIA,New South Wales,Mullaway Headland,SURFING,INJURY,NOON
1595,UNPROVOKED,2010-01-10,BAHAMAS,Exuma Islands,,DIVING,INJURY,
1596,UNPROVOKED,2010-01-10,BAHAMAS,Abaco Islands,Elbow Cay,SURFING,INJURY,AFTERNOON
1597,UNPROVOKED,2010-01-10,SOUTH AFRICA,Western Cape Province,"Melkbaai, Strand",SURFING,INJURY,NOON
1598,UNPROVOKED,2010-01-09,USA,Oregon,Winchester Bay,SURFING,,AFTERNOON
1599,UNPROVOKED,2010-01-09,USA,Virginia,Sandridge Beach,SURFING,INJURY,AFTERNOON
1600,UNPROVOKED,2010-01-09,SOUTH AFRICA,Western Cape Province,Between Dyer Island and Pearly Beach,SWIMMING,FATALITY,
1601,UNPROVOKED,2010-01-09,AUSTRALIA,New South Wales,Fraser's Reef,SURFING,INJURY,AFTERNOON
1602,UNPROVOKED,2010-01-09,USA,Florida,"St. Augustine, St. John's County",SWIMMING,INJURY,
1603,UNPROVOKED,2010-01-09,TONGA,Ha'api,,SWIMMING,INJURY,NOON
1604,UNPROVOKED,2010-01-09,USA,Florida,"New Smyrna Beach, Volusia County",SURFING,,
1605,UNPROVOKED,2010-01-09,USA,Florida,"New Smyrna Beach, Volusia County",SURFING,INJURY,NOON
1606,UNPROVOKED,2010-01-09,USA,Florida,"New Smyrna Beach, Volusia County",SURFING,INJURY,MORNING
1607,UNPROVOKED,2010-01-09,SOLOMON ISLANDS,Western Province,,,INJURY,
1608,,2010-01-08,BAHAMAS,Exuma Islands,"Off Jaws Beach, New Providence Island",SWIMMING,,
1609,UNPROVOKED,2010-01-08,USA,Florida,Crescent Beach St. Johns County,SURFING,INJURY,MORNING
1610,UNPROVOKED,2010-01-08,AUSTRALIA,Western Australia,Cowaramup Bay,SURFING,FATALITY,MORNING
1611,WATERCRAFT,2010-01-08,USA,California,"Pigeon Point, San Mateo County",BOATING,INJURY,
1612,PROVOKED,2010-01-08,AUSTRALIA,Queensland,"Three Mile Creek, Townsville",FISHING,INJURY,DUSK
1613,UNPROVOKED,2010-01-08,SOUTH KOREA,Jeju Province,Jeju Island,SWIMMING,INJURY,NOON
1614,UNPROVOKED,2010-01-08,AUSTRALIA,New South Wales,Crescent Head,SURFING,INJURY,MORNING
1615,UNPROVOKED,2010-01-08,USA,North Carolina,"Figure Eight Island, Wilmington, New Hanover County",SURFING,INJURY,AFTERNOON
1616,UNPROVOKED,2010-01-08,MALTA,,"Off Fort St. Elmo, Valetta",,INJURY,
1617,,2010-01-08,USA,Florida,"Bethune Beach, Volusia County",SWIMMING,INJURY,DUSK
1618,WATERCRAFT,2010-01-08,USA,California,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",BOATING,INJURY,NOON
1619,UNPROVOKED,2010-01-08,USA,Florida,"Micklers Landing, St. Johns County",PASSIVE,INJURY,NOON
1620,UNPROVOKED,2010-01-07,USA,South Carolina,"Isle of Palms, Charleston County",PASSIVE,INJURY,
1621,UNPROVOKED,2010-01-07,USA,Florida,"Jacksonville Beach, Duval County",SURFING,INJURY,AFTERNOON
1622,UNPROVOKED,2010-01-07,USA,South Carolina,Myrtle Beach,SWIMMING,INJURY,MORNING
1623,UNPROVOKED,2010-01-07,USA,North Carolina,"Wrightsville Beach, New Hanover County",SWIMMING,INJURY,NOON
1624,UNPROVOKED,2010-01-07,USA,Florida,New Smyrna Beach,SURFING,INJURY,
1625,PROVOKED,2010-01-07,SPAIN,Grand Canary Island,"Sardina del Norte, Gáldar",SWIMMING,INJURY,DUSK
1626,UNPROVOKED,2010-01-07,USA,Texas,Galveston,FISHING,INJURY,
1627,PROVOKED,2010-01-07,USA,Florida,"Lauderdale-by-the-Sea, Broward County",FISHING,INJURY,
1628,UNPROVOKED,2010-01-07,SOUTH AFRICA,KwaZulu-Natal,"Two Mile Reef, Sodwana Bay",DIVING,INJURY,
1629,PROVOKED,2010-01-07,USA,New York,Off Long Island,FISHING,INJURY,NOON
1630,UNPROVOKED,2010-01-07,USA,California,"Pismo Beach, San Luis  Obispo County",SURFING,INJURY,DUSK
1631,UNPROVOKED,2010-01-07,USA,California,"Dog Patch, San Onofre",SURFING,,AFTERNOON
1632,UNPROVOKED,2010-01-06,USA,Texas,"Eight Mile Beach, Galveston",SURFING,INJURY,
1633,UNPROVOKED,2010-01-06,USA,South Carolina,Fripp Island,SURFING,INJURY,
1634,UNPROVOKED,2010-01-06,USA,North Carolina,"Topsail Island, Pender County",SWIMMING,INJURY,NOON
1635,UNPROVOKED,2010-01-06,VIETNAM,Binh Dinh Province,Quy Nhon,SWIMMING,INJURY,AFTERNOON
1636,UNPROVOKED,2010-01-06,USA,Florida,Jacksonville,SURFING,INJURY,NOON
1637,UNPROVOKED,2010-01-06,AUSTRALIA,Western Australia,"Conspicuous Beach, near Walpole",SURFING,INJURY,NOON
1638,UNPROVOKED,2010-01-06,USA,Florida,"Ponte Vedra Beach, St Johns County",SURFING,INJURY,
1639,PROVOKED,2010-01-05,USA,Florida,Off Tarpon Springs,FISHING,INJURY,MORNING
1640,UNPROVOKED,2010-01-05,VIETNAM,Binh Dinh Province,Quy Nhon,,INJURY,AFTERNOON
1641,UNPROVOKED,2010-01-05,VIETNAM,Binh Dinh Province,Quy Nhon,SWIMMING,INJURY,AFTERNOON
1642,UNPROVOKED,2010-01-05,AUSTRALIA,New South Wales,Point Plomer,SURFING,INJURY,AFTERNOON
1643,UNPROVOKED,2010-01-05,MADAGASCAR,Antsiranana Province,"Ambatolaoka, Nosy Be Island",DIVING,INJURY,MORNING
1644,UNPROVOKED,2010-01-05,USA,Florida,New Smyrna Beach,SWIMMING,INJURY,MORNING
1645,PROVOKED,2010-01-04,USA,Florida,Hanalei Bay,,INJURY,NOON
1646,UNPROVOKED,2010-01-04,USA,Hawaii,"Hanalei Bay, Kauai",SURFING,INJURY,AFTERNOON
1647,UNPROVOKED,2010-01-04,SOUTH AFRICA,Eastern Cape Province,"East Beach, Port Alfred",SURFING,INJURY,MORNING
1648,UNPROVOKED,2010-01-04,EGYPT,Sinai Peninsula,Sharm el-Sheikh,SWIMMING,INJURY,NOON
1649,UNPROVOKED,2010-01-03,REUNION,Saint-Benoit,Bittern,SURFING,INJURY,NOON
1650,UNPROVOKED,2010-01-02,NEW ZEALAND,South Island,Tahunanui Beach,SWIMMING,,NIGHT
1651,UNPROVOKED,2010-01-02,SOUTH AFRICA,Eastern Cape Province,Yellow Sands Point,SURFING,INJURY,NOON
1652,UNPROVOKED,2010-01-02,FIJI,Off Vanua Levu,Nara Reef,DIVING,FATALITY,MORNING
1653,UNPROVOKED,2010-01-02,AUSTRALIA,Queensland,"Dent Island, Whitsundays",DIVING,INJURY,NOON
1654,UNPROVOKED,2010-01-02,AUSTRALIA,New South Wales,"Mona Vale Beach, Sydney",SURFING,INJURY,MORNING
1655,PROVOKED,2010-01-02,NEW ZEALAND,South Island,Cosy Nook,DIVING,INJURY,
1656,UNPROVOKED,2010-01-02,AUSTRALIA,New South Wales,Turners' Beach,SURFING,,AFTERNOON
1657,PROVOKED,2010-01-02,USA,Florida,Riviera Beach,SWIMMING,INJURY,AFTERNOON
1658,,2010-01-02,GUAM,Merizo,Achang Reef,DIVING,INJURY,NOON
1659,UNPROVOKED,2010-01-02,USA,Florida,"Stuart, Martin County",SURFING,FATALITY,AFTERNOON
1660,PROVOKED,2010-01-02,NEW ZEALAND,South Island,Oreti Beach,SURFING,,AFTERNOON
1661,UNPROVOKED,2010-01-01,BRAZIL,Rio Grande Do Sul,"Atlantis Beach, near Tramandai",SURFING,INJURY,
1662,UNPROVOKED,2010-01-01,AUSTRALIA,Queensland,Archie's Beach,SURFING,INJURY,AFTERNOON
1663,UNPROVOKED,2010-01-01,UNITED ARAB EMIRATES (UAE),Dubai,"Umm Suqeim Beach, Dubai",SURFING,INJURY,DUSK
1664,UNPROVOKED,2010-01-01,AUSTRALIA,Victoria,Geelong,SURFING,INJURY,MORNING
1665,UNPROVOKED,2010-01-01,SOUTH AFRICA,Western Province,Fish Hoek,PASSIVE,FATALITY,AFTERNOON
1666,UNPROVOKED,2010-01-01,AUSTRALIA,Torres Strait,Thursday Island,DIVING,INJURY,
1667,UNPROVOKED,2010-01-01,VIETNAM,Binh Dinh Province,Quy Nhon,,INJURY,
1668,UNPROVOKED,2010-01-01,VIETNAM,Binh Dinh Province,Quy Nhon,,INJURY,AFTERNOON
1669,UNPROVOKED,2010-01-01,VIETNAM,Binh Dinh Province,Quy Nhon,SWIMMING,INJURY,
1670,UNPROVOKED,2010-01-01,USA,Florida,Elliot Key,DIVING,INJURY,MORNING
1671,UNPROVOKED,2010-01-01,SOUTH AFRICA,Eastern Province,"Nahoon, East London",SURFING,,
1672,UNPROVOKED,2009-01-12,SOUTH AFRICA,Eastern Cape  Province,Port Alfred,SWIMMING,INJURY,MORNING
1673,PROVOKED,2009-01-12,AUSTRALIA,New South Wales,Avoca Beach,SWIMMING,INJURY,NOON
1674,UNPROVOKED,2009-01-12,MOZAMBIQUE,Maputo Province,Ponta do Ouro,SWIMMING,INJURY,AFTERNOON
1675,WATERCRAFT,2009-01-12,AUSTRALIA,Queensland,Mudjimba Island,BOATING,,NOON
1676,UNPROVOKED,2009-01-12,AUSTRALIA,Queensland,Lamont Reef,DIVING,INJURY,MORNING
1677,UNPROVOKED,2009-01-12,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",SURFING,FATALITY,NOON
1678,,2009-01-12,SOUTH AFRICA,KwaZulu-Natal,"North Beach, Durban",SURFING,INJURY,
1679,UNPROVOKED,2009-01-12,NEW ZEALAND,South Island,Clark Island,SWIMMING,FATALITY,
1680,UNPROVOKED,2009-01-12,AUSTRALIA,New South Wales,Coffee Head,SURFING,INJURY,MORNING
1681,WATERCRAFT,2009-01-12,AUSTRALIA,New South Wales,Hawks Nest Beach,BOATING,INJURY,MORNING
1682,PROVOKED,2009-01-12,USA,New Jersey,"Adventure Aquarium, Camden",DIVING,INJURY,NOON
1683,,2009-01-11,USA,California,"Huntington Beach, Orange County",SURFING,INJURY,AFTERNOON
1684,UNPROVOKED,2009-01-11,USA,Florida,"Lori Wilson Park, Cocoa Beach, Brevard County",SWIMMING,INJURY,MORNING
1685,UNPROVOKED,2009-01-11,USA,California,"Loch Lomond, Marin County",FISHING,INJURY,AFTERNOON
1686,UNPROVOKED,2009-01-11,USA,Florida,"Jupiter, Palm Beach County",SURFING,INJURY,MORNING
1687,UNPROVOKED,2009-01-11,USA,Florida,"Jupiter, Palm Beach County",SURFING,INJURY,AFTERNOON
1688,UNPROVOKED,2009-01-11,USA,Florida,"New Smyrna Beach, Volusia County",SURFING,INJURY,NOON
1689,UNPROVOKED,2009-01-11,AUSTRALIA,South Australia,Second Valley,BOATING,INJURY,MORNING
1690,UNPROVOKED,2009-01-11,USA,California,"Davenport, Santa Cruz County",SURFING,,DUSK
1691,WATERCRAFT,2009-01-10,AUSTRALIA,Victoria,Portland,BOATING,INJURY,MORNING
1692,UNPROVOKED,2009-01-10,MOZAMBIQUE,Inhambane Province,Off Vilanculo,DIVING,INJURY,
1693,UNPROVOKED,2009-01-10,AUSTRALIA,New South Wales,Lennox Heads,SURFING,INJURY,MORNING
1694,UNPROVOKED,2009-01-10,USA,California,"San Onofre, San Diego County",SURFING,INJURY,AFTERNOON
1695,UNPROVOKED,2009-01-10,USA,Hawaii,"Kalama Park, Maui",SURFING,INJURY,
1696,UNPROVOKED,2009-01-10,PANAMA,Bocas,Playa La Cabaña,SWIMMING,INJURY,AFTERNOON
1697,PROVOKED,2009-01-10,SCOTLAND,Fife,Deep Sea World Aquarium,DIVING,INJURY,NOON
1698,UNPROVOKED,2009-01-10,AUSTRALIA,Western Australia,,DIVING,INJURY,
1699,UNPROVOKED,2009-01-10,USA,California,"San Onofre State Beach, San Diego County",SURFING,INJURY,NOON
1700,PROVOKED,2009-01-10,UNITED KINGDOM,Devon,Mewstone Rock,FISHING,INJURY,NOON
1701,UNPROVOKED,2009-01-09,USA,Florida,"Key Colony Beach, Monroe County",SWIMMING,INJURY,AFTERNOON
1702,UNPROVOKED,2009-01-09,VIETNAM,,,,INJURY,
1703,PROVOKED,2009-01-09,SOMALIA,,300 miles off the coast,FISHING,INJURY,
1704,PROVOKED,2009-01-09,BRAZIL,Pernambuco,"Piedade, Recife",,,
1705,,2009-01-09,USA,North Carolina,"Corolla, Currituck County",SWIMMING,FATALITY,DUSK
1706,UNPROVOKED,2009-01-09,BRAZIL,Pernambuco,"Piedade, Recife",SWIMMING,FATALITY,NOON
1707,,2009-01-09,NEVIS,,Castle Beach,SWIMMING,,
1708,PROVOKED,2009-01-09,SOLOMON ISLANDS,Makira-Ulawa Province,"Kirakira, Makira Island (formerly San Cristobal)",FISHING,INJURY,
1709,UNPROVOKED,2009-01-08,USA,California,"Huntington Beach, Orange County",SURFING,,AFTERNOON
1710,UNPROVOKED,2009-01-08,SOUTH AFRICA,Western Cape Province,Glentana,SURFING,FATALITY,AFTERNOON
1711,UNPROVOKED,2009-01-08,USA,California,"Terramar Beach, Carlsbad, San Diego County",SWIMMING,INJURY,AFTERNOON
1712,UNPROVOKED,2009-01-08,SOUTH AFRICA,KwaZulu-Natal,Alkantstrand,SURFING,INJURY,NOON
1713,UNPROVOKED,2009-01-08,USA,Florida,"Ponce, Volusia County",SWIMMING,INJURY,DUSK
1714,UNPROVOKED,2009-01-08,USA,Hawaii,Kawa'a,SURFING,INJURY,MORNING
1715,UNPROVOKED,2009-01-08,USA,Louisiana,"Curlew Island, Breton Sound",FISHING,INJURY,MORNING
1716,UNPROVOKED,2009-01-07,BAHAMAS,Abaco Islands,Spanish Cay,DIVING,INJURY,
1717,UNPROVOKED,2009-01-07,AUSTRALIA,New South Wales,Broken Head,SURFING,INJURY,
1718,UNPROVOKED,2009-01-07,VIETNAM,Binh Dinh Province,Quy Nhon,SWIMMING,INJURY,AFTERNOON
1719,UNPROVOKED,2009-01-07,KENYA,Mombasa,Likoni Channel,,FATALITY,
1720,UNPROVOKED,2009-01-07,USA,Texas,South Padre Island,SWIMMING,INJURY,NOON
1721,,2009-01-07,SPAIN,Catalunya,Sant Salvador,SWIMMING,INJURY,MORNING
1722,UNPROVOKED,2009-01-07,USA,North Carolina,Holden Beach. Brunswick County,SWIMMING,INJURY,AFTERNOON
1723,UNPROVOKED,2009-01-07,USA,Florida,"Intracoastal Waterway,      St. Petersburg",SWIMMING,INJURY,AFTERNOON
